日期,天气,气温,风向
2020-01-01,多云,3℃～-2℃,西南风转东北风 3-4级转3-4级
2020-01-02,阴,5℃～2℃,东北风转北风 <3级
2020-01-03,阴转晴,8℃～0℃,北风转南风 3-4级转3-4级
2020-01-04,多云,9℃～2℃,北风转东北风 <3级
2020-01-05,雾转小雨,6℃～4℃,北风转东风 3-4级
2020-01-06,阴转中雨,5℃～2℃,东北风转北风 3-4级
2020-01-07,阴转小雪,4℃～-4℃,东北风转西北风 3-4级转3-4级
2020-01-08,晴,3℃～-4℃,西北风转东北风 3-4级转3-4级
2020-01-09,多云,3℃～-2℃,东北风 3-4级转3-4级
2020-01-10,阴转多云,6℃～0℃,北风 3-4级转3-4级
2020-01-11,阴转多云,3℃～-4℃,西风转北风 3-4级转3-4级
2020-01-12,多云,3℃～-3℃,东北风转南风 3-4级转3-4级
2020-01-13,小雪,5℃～-3℃,北风 <3级
2020-01-14,晴,2℃～-4℃,东北风转东风 3-4级转3-4级
2020-01-15,阴转小雪,3℃～0℃,北风转东北风 3-4级转3-4级
2020-01-16,阴,2℃～-4℃,东北风转北风 3-4级转3-4级
2020-01-17,雾转多云,2℃～-4℃,西风转北风 3-4级转3-4级
2020-01-18,多云,5℃～-2℃,西风转西南风 3-4级转3-4级
2020-01-19,多云转晴,8℃～-2℃,西南风转西北风 3-4级转3-4级
2020-01-20,多云,8℃～-1℃,北风转东风 3-4级转3-4级
2020-01-21,多云转阴,7℃～1℃,东北风转东南风 3-4级转3-4级
2020-01-22,阴,8℃～2℃,东北风 3-4级转3-4级
2020-01-23,雾转多云,8℃～2℃,北风转东北风 3-4级
2020-01-24,阴转多云,7℃～1℃,东北风 3-4级
2020-01-25,阴,6℃～1℃,东北风 3-4级
2020-01-26,阴转小雪,2℃～1℃,东北风转北风 3-4级
2020-01-27,阴转多云,7℃～0℃,东北风转北风 3-4级转3-4级
2020-01-28,阴转多云,8℃～-1℃,西风转北风 3-4级转3-4级
2020-01-29,多云转晴,5℃～-3℃,西北风转北风 3-4级转3-4级
2020-01-30,晴,7℃～-3℃,西北风转北风 3-4级转3-4级
2020-01-31,晴,10℃～-2℃,西南风转南风 3-4级转3-4级
2020-02-01,多云,10℃～0℃,东北风 3-4级转3-4级
2020-02-02,多云,11℃～-2℃,西南风转北风 3-4级
2020-02-03,晴,7℃～-3℃,东北风转南风 3-4级转3-4级
2020-02-04,阴转雨夹雪,9℃～-3℃,东北风转北风 3-4级转3-4级
2020-02-05,阴,1℃～-2℃,东北风转东风 3-4级
2020-02-06,阴,0℃～-4℃,东北风转南风 3-4级转3-4级
2020-02-07,阴转多云,6℃～-1℃,西风转南风 3-4级转3-4级
2020-02-08,多云转晴,9℃～0℃,西南风 3-4级转3-4级
2020-02-09,晴,13℃～1℃,西南风 3-4级转3-4级
2020-02-10,多云,16℃～1℃,西南风转南风 3-4级转3-4级
2020-02-11,阴,11℃～3℃,东风转北风 3-4级转3-4级
2020-02-12,阴转晴,16℃～3℃,西南风转南风 3-4级转3-4级
