id,Time,MeasName,Hour
0,2020-02-03,站点4,H0
1,2020-02-03,站点4,H1
2,2020-02-03,站点4,H2
3,2020-02-03,站点4,H3
4,2020-02-03,站点4,H4
5,2020-02-03,站点4,H5
6,2020-02-03,站点4,H6
7,2020-02-03,站点4,H7
8,2020-02-03,站点4,H8
9,2020-02-03,站点4,H9
10,2020-02-03,站点4,H10
11,2020-02-03,站点4,H11
12,2020-02-03,站点4,H12
13,2020-02-03,站点4,H13
14,2020-02-03,站点4,H14
15,2020-02-03,站点4,H15
16,2020-02-03,站点4,H16
17,2020-02-03,站点4,H17
18,2020-02-03,站点4,H18
19,2020-02-03,站点4,H19
20,2020-02-03,站点4,H20
21,2020-02-03,站点4,H21
22,2020-02-03,站点4,H22
23,2020-02-03,站点4,H23
24,2020-02-03,站点7,H0
25,2020-02-03,站点7,H1
26,2020-02-03,站点7,H2
27,2020-02-03,站点7,H3
28,2020-02-03,站点7,H4
29,2020-02-03,站点7,H5
30,2020-02-03,站点7,H6
31,2020-02-03,站点7,H7
32,2020-02-03,站点7,H8
33,2020-02-03,站点7,H9
34,2020-02-03,站点7,H10
35,2020-02-03,站点7,H11
36,2020-02-03,站点7,H12
37,2020-02-03,站点7,H13
38,2020-02-03,站点7,H14
39,2020-02-03,站点7,H15
40,2020-02-03,站点7,H16
41,2020-02-03,站点7,H17
42,2020-02-03,站点7,H18
43,2020-02-03,站点7,H19
44,2020-02-03,站点7,H20
45,2020-02-03,站点7,H21
46,2020-02-03,站点7,H22
47,2020-02-03,站点7,H23
48,2020-02-03,站点22,H0
49,2020-02-03,站点22,H1
50,2020-02-03,站点22,H2
51,2020-02-03,站点22,H3
52,2020-02-03,站点22,H4
53,2020-02-03,站点22,H5
54,2020-02-03,站点22,H6
55,2020-02-03,站点22,H7
56,2020-02-03,站点22,H8
57,2020-02-03,站点22,H9
58,2020-02-03,站点22,H10
59,2020-02-03,站点22,H11
60,2020-02-03,站点22,H12
61,2020-02-03,站点22,H13
62,2020-02-03,站点22,H14
63,2020-02-03,站点22,H15
64,2020-02-03,站点22,H16
65,2020-02-03,站点22,H17
66,2020-02-03,站点22,H18
67,2020-02-03,站点22,H19
68,2020-02-03,站点22,H20
69,2020-02-03,站点22,H21
70,2020-02-03,站点22,H22
71,2020-02-03,站点22,H23
72,2020-02-03,站点21,H0
73,2020-02-03,站点21,H1
74,2020-02-03,站点21,H2
75,2020-02-03,站点21,H3
76,2020-02-03,站点21,H4
77,2020-02-03,站点21,H5
78,2020-02-03,站点21,H6
79,2020-02-03,站点21,H7
80,2020-02-03,站点21,H8
81,2020-02-03,站点21,H9
82,2020-02-03,站点21,H10
83,2020-02-03,站点21,H11
84,2020-02-03,站点21,H12
85,2020-02-03,站点21,H13
86,2020-02-03,站点21,H14
87,2020-02-03,站点21,H15
88,2020-02-03,站点21,H16
89,2020-02-03,站点21,H17
90,2020-02-03,站点21,H18
91,2020-02-03,站点21,H19
92,2020-02-03,站点21,H20
93,2020-02-03,站点21,H21
94,2020-02-03,站点21,H22
95,2020-02-03,站点21,H23
96,2020-02-03,站点20,H0
97,2020-02-03,站点20,H1
98,2020-02-03,站点20,H2
99,2020-02-03,站点20,H3
100,2020-02-03,站点20,H4
101,2020-02-03,站点20,H5
102,2020-02-03,站点20,H6
103,2020-02-03,站点20,H7
104,2020-02-03,站点20,H8
105,2020-02-03,站点20,H9
106,2020-02-03,站点20,H10
107,2020-02-03,站点20,H11
108,2020-02-03,站点20,H12
109,2020-02-03,站点20,H13
110,2020-02-03,站点20,H14
111,2020-02-03,站点20,H15
112,2020-02-03,站点20,H16
113,2020-02-03,站点20,H17
114,2020-02-03,站点20,H18
115,2020-02-03,站点20,H19
116,2020-02-03,站点20,H20
117,2020-02-03,站点20,H21
118,2020-02-03,站点20,H22
119,2020-02-03,站点20,H23
120,2020-02-03,站点24,H0
121,2020-02-03,站点24,H1
122,2020-02-03,站点24,H2
123,2020-02-03,站点24,H3
124,2020-02-03,站点24,H4
125,2020-02-03,站点24,H5
126,2020-02-03,站点24,H6
127,2020-02-03,站点24,H7
128,2020-02-03,站点24,H8
129,2020-02-03,站点24,H9
130,2020-02-03,站点24,H10
131,2020-02-03,站点24,H11
132,2020-02-03,站点24,H12
133,2020-02-03,站点24,H13
134,2020-02-03,站点24,H14
135,2020-02-03,站点24,H15
136,2020-02-03,站点24,H16
137,2020-02-03,站点24,H17
138,2020-02-03,站点24,H18
139,2020-02-03,站点24,H19
140,2020-02-03,站点24,H20
141,2020-02-03,站点24,H21
142,2020-02-03,站点24,H22
143,2020-02-03,站点24,H23
144,2020-02-03,站点27,H0
145,2020-02-03,站点27,H1
146,2020-02-03,站点27,H2
147,2020-02-03,站点27,H3
148,2020-02-03,站点27,H4
149,2020-02-03,站点27,H5
150,2020-02-03,站点27,H6
151,2020-02-03,站点27,H7
152,2020-02-03,站点27,H8
153,2020-02-03,站点27,H9
154,2020-02-03,站点27,H10
155,2020-02-03,站点27,H11
156,2020-02-03,站点27,H12
157,2020-02-03,站点27,H13
158,2020-02-03,站点27,H14
159,2020-02-03,站点27,H15
160,2020-02-03,站点27,H16
161,2020-02-03,站点27,H17
162,2020-02-03,站点27,H18
163,2020-02-03,站点27,H19
164,2020-02-03,站点27,H20
165,2020-02-03,站点27,H21
166,2020-02-03,站点27,H22
167,2020-02-03,站点27,H23
168,2020-02-03,站点5,H0
169,2020-02-03,站点5,H1
170,2020-02-03,站点5,H2
171,2020-02-03,站点5,H3
172,2020-02-03,站点5,H4
173,2020-02-03,站点5,H5
174,2020-02-03,站点5,H6
175,2020-02-03,站点5,H7
176,2020-02-03,站点5,H8
177,2020-02-03,站点5,H9
178,2020-02-03,站点5,H10
179,2020-02-03,站点5,H11
180,2020-02-03,站点5,H12
181,2020-02-03,站点5,H13
182,2020-02-03,站点5,H14
183,2020-02-03,站点5,H15
184,2020-02-03,站点5,H16
185,2020-02-03,站点5,H17
186,2020-02-03,站点5,H18
187,2020-02-03,站点5,H19
188,2020-02-03,站点5,H20
189,2020-02-03,站点5,H21
190,2020-02-03,站点5,H22
191,2020-02-03,站点5,H23
192,2020-02-03,站点26,H0
193,2020-02-03,站点26,H1
194,2020-02-03,站点26,H2
195,2020-02-03,站点26,H3
196,2020-02-03,站点26,H4
197,2020-02-03,站点26,H5
198,2020-02-03,站点26,H6
199,2020-02-03,站点26,H7
200,2020-02-03,站点26,H8
201,2020-02-03,站点26,H9
202,2020-02-03,站点26,H10
203,2020-02-03,站点26,H11
204,2020-02-03,站点26,H12
205,2020-02-03,站点26,H13
206,2020-02-03,站点26,H14
207,2020-02-03,站点26,H15
208,2020-02-03,站点26,H16
209,2020-02-03,站点26,H17
210,2020-02-03,站点26,H18
211,2020-02-03,站点26,H19
212,2020-02-03,站点26,H20
213,2020-02-03,站点26,H21
214,2020-02-03,站点26,H22
215,2020-02-03,站点26,H23
216,2020-02-03,站点1,H0
217,2020-02-03,站点1,H1
218,2020-02-03,站点1,H2
219,2020-02-03,站点1,H3
220,2020-02-03,站点1,H4
221,2020-02-03,站点1,H5
222,2020-02-03,站点1,H6
223,2020-02-03,站点1,H7
224,2020-02-03,站点1,H8
225,2020-02-03,站点1,H9
226,2020-02-03,站点1,H10
227,2020-02-03,站点1,H11
228,2020-02-03,站点1,H12
229,2020-02-03,站点1,H13
230,2020-02-03,站点1,H14
231,2020-02-03,站点1,H15
232,2020-02-03,站点1,H16
233,2020-02-03,站点1,H17
234,2020-02-03,站点1,H18
235,2020-02-03,站点1,H19
236,2020-02-03,站点1,H20
237,2020-02-03,站点1,H21
238,2020-02-03,站点1,H22
239,2020-02-03,站点1,H23
240,2020-02-03,站点3,H0
241,2020-02-03,站点3,H1
242,2020-02-03,站点3,H2
243,2020-02-03,站点3,H3
244,2020-02-03,站点3,H4
245,2020-02-03,站点3,H5
246,2020-02-03,站点3,H6
247,2020-02-03,站点3,H7
248,2020-02-03,站点3,H8
249,2020-02-03,站点3,H9
250,2020-02-03,站点3,H10
251,2020-02-03,站点3,H11
252,2020-02-03,站点3,H12
253,2020-02-03,站点3,H13
254,2020-02-03,站点3,H14
255,2020-02-03,站点3,H15
256,2020-02-03,站点3,H16
257,2020-02-03,站点3,H17
258,2020-02-03,站点3,H18
259,2020-02-03,站点3,H19
260,2020-02-03,站点3,H20
261,2020-02-03,站点3,H21
262,2020-02-03,站点3,H22
263,2020-02-03,站点3,H23
264,2020-02-03,站点29,H0
265,2020-02-03,站点29,H1
266,2020-02-03,站点29,H2
267,2020-02-03,站点29,H3
268,2020-02-03,站点29,H4
269,2020-02-03,站点29,H5
270,2020-02-03,站点29,H6
271,2020-02-03,站点29,H7
272,2020-02-03,站点29,H8
273,2020-02-03,站点29,H9
274,2020-02-03,站点29,H10
275,2020-02-03,站点29,H11
276,2020-02-03,站点29,H12
277,2020-02-03,站点29,H13
278,2020-02-03,站点29,H14
279,2020-02-03,站点29,H15
280,2020-02-03,站点29,H16
281,2020-02-03,站点29,H17
282,2020-02-03,站点29,H18
283,2020-02-03,站点29,H19
284,2020-02-03,站点29,H20
285,2020-02-03,站点29,H21
286,2020-02-03,站点29,H22
287,2020-02-03,站点29,H23
288,2020-02-03,站点11,H0
289,2020-02-03,站点11,H1
290,2020-02-03,站点11,H2
